movie_id,title,year,academy_award,won,run_time,budget,box_office,starring 1,starring 2,starring 3,starring 4,starring 5,starring 6,starring 7,starring 8,starring 9,starring 10,starring 11,starring 12,starring 13,starring 14,starring 15,starring 16,starring 17,starring 18,starring 19
hamlet-1948,Hamlet,1948,21,yes,NA,2.125825,NA,,,,,,,,,,,,,,,,,,,
johnny-belinda-1948,Johnny Belinda,1948,21,no,102,NA,4.1,,,,,,,,,,,,,,,,,,,
the-red-shoes-1948,The Red Shoes,1948,21,no,133,2.0375680000000003,5,,,,,,,,,,,,,,,,,,,
the-snake-pit-1948,The Snake Pit,1948,21,no,108,3.8,4.1,,,,,,,,,,,,,,,,,,,
the-treasure-of-the-sierra-madre-1948,The Treasure of the Sierra Madre,1948,21,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
all-the-kings-men-1949,All the King's Men,1949,22,yes,109,NA,2.4,,,,,,,,,,,,,,,,,,,
battleground-1949,Battleground,1949,22,no,118,1.631,6.269,,,,,,,,,,,,,,,,,,,
the-heiress-1949,The Heiress,1949,22,no,115,2.6,2.3,Olivia de Havilland, Montgomery Clift, Ralph Richardson,,,,,,,,,,,,,,,,
a-letter-to-three-wives-1949,A Letter to Three Wives,1949,22,no,103,NA,2.75,,,,,,,,,,,,,,,,,,,
twelve-oclock-high-1949,Twelve O'Clock High,1949,22,no,132,NA,NA,,,,,,,,,,,,,,,,,,,
all-about-eve-1950,All About Eve,1950,23,yes,138,1.4,8.4,Bette Davis, Anne Baxter, George Sanders, Celeste Holm,,,,,,,,,,,,,,,
born-yesterday-1950,Born Yesterday,1950,23,no,103,NA,4.15,,,,,,,,,,,,,,,,,,,
father-of-the-bride-1950,Father of the Bride,1950,23,no,92,1.215,6.084,,,,,,,,,,,,,,,,,,,
king-solomons-mines-1950,King Solomon's Mines,1950,23,no,103,2.3,15.1,Deborah Kerr, Stewart Granger, Richard Carlson,,,,,,,,,,,,,,,,
sunset-boulevard-1950,Sunset Boulevard,1950,23,no,110,1.75,5,William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough,,,,,,,,,,,,,
an-american-in-paris-1951,An American in Paris,1951,24,yes,113,2.7,7,,,,,,,,,,,,,,,,,,,
decision-before-dawn-1951,Decision Before Dawn,1951,24,no,119,NA,1.55,,,,,,,,,,,,,,,,,,,
a-place-in-the-sun-1951,A Place in the Sun,1951,24,no,122,2.2953,7,,,,,,,,,,,,,,,,,,,
quo-vadis-1951,Quo Vadis,1951,24,no,171,7.6,21,,,,,,,,,,,,,,,,,,,
a-streetcar-named-desire-1951,A Streetcar Named Desire,1951,24,no,125,1.8,8,Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden,,,,,,,,,,,,,,,
the-greatest-show-on-earth-1952,The Greatest Show on Earth,1952,25,yes,152,4,36,Betty Hutton, Cornel Wilde, Charlton Heston, James Stewart, Dorothy Lamour, Gloria Grahame, Lyle Bettger,,,,,,,,,,,,
